대분류,중분류,화면ID,화면명,핵심기능,CRUD,엑셀,외부연동,비고
관리자(BS),사원관리,BS3110,사원관리,"사원 CRUD, 관리등급/부서/메뉴권한/버튼권한, Ecount 사원번호 매핑",CRUD,O,Ecount-ERP,논리삭제(Y→N)
관리자(BS),도서관리,BS3111,도서관리,"잡지/단행본 코드 CRUD (도서명/구분/가격/우편료1~4/신간)",CRUD,O,,논리삭제(Y→N)
관리자(BS),도서관리,BS3112,도서할인율관리,"수량/구독월수/할인형태별 할인단가 관리",CRUD,O,,논리삭제(Y→N)
관리자(BS),코드관리,BS3114,기초코드관리,"프로그램 내 모든 코드 관리 (대분류/소분류 2레벨)",CRUD,O,,논리삭제(Y→N)
관리자(BS),코드관리,BS3115,결제코드관리,"결제방법 코드 관리 (전화접수가능여부/웹자동결제가능여부)",CRUD,O,,논리삭제(Y→N)
관리자(BS),코드관리,BS3116,국가코드관리,"국가 정보 코드 관리 (국제전화/지역구분)",CRUD,O,,해외구독 지원
관리자(BS),거래처관리,BS3117,거래처관리,"거래처 CRUD, 가상계좌 발급/회수, 4종 결제(신용카드/ARS/가상계좌/현금영수증), 거래중지/재거래, Ecount-ERP 엑셀 양방향(양식다운로드/업로드)",CRUD,O,"나이스페이,Ecount-ERP",영구삭제
관리자(BS),시스템관리,BS3195,프로그램관리,"Sub Menu 등록/수정 (모듈ID/모듈명/모듈유형/클래스명)",CRUD,O,,논리삭제(Y→N)
관리자(BS),시스템관리,BS3193,메뉴관리,"Main→Sub Menu 배치, 메뉴 추가/이동 (Tree 구조)",CRU,,,
관리자(BS),시스템관리,BS3197,버튼관리,"화면별 버튼 등록/수정 관리 (모듈ID/버튼ID/버튼명)",CRUD,,,
관리자(BS),시스템관리,BS3201,메뉴/버튼별 권한관리,"권한정책 CRUD, 메뉴권한/버튼권한 매트릭스 저장 (RBAC)",CRUD,,,
관리자(BS),운영관리,MP3949,선수수익 발송거래 오류내역,"발송거래 선수수익 적용 오류 조회, 단건/일괄 재처리",R,,,"관리자 매뉴얼 수록, 운영용"
접수(SS),구독접수,SS3210,구독접수,"구독 신청/수정/삭제, 신규등록, 선물등록, 구독삭제, 특이사항거래(수취인변경/구독잡지변경/국내국외간구독변경), 결제(신용카드/ARS/가상계좌/현금영수증)",CRUD,O,나이스페이,
접수(SS),구독접수,SS3212,구독접수현황(일자별),"일자별 구독접수내역 조회",R,O,,
접수(SS),회원관리,SS3214,회원관리,"회원 등록/수정, 가상계좌 할당/회수",CRU,O,,
접수(SS),회원관리,SS3215,회원현황,"CTI 연동 (로그인/대기/작업/휴식/걸기/끊기/보류/보류해제/호협의→나이스페이ARS), SMS 문자 발송",R,,"CTI,나이스페이ARS,SMS",
접수(SS),웹연동,SS3216,웹신청자관리,"웹 구독 신청 내역 관리, 회원번호 부여",CRU,O,,웹→CS 연동
접수(SS),회원관리,SS3217,회원주소변경목록,"주소 변경 회원 조회",R,O,,
접수(SS),구독조회,SS3219,월호별구독만료조회,"월호별 구독만료자 조회",R,O,,CSV다운로드
접수(SS),구독조회,SS3220,기간별연장구독건수조회,"기간별 연장 구독건수 현황",R,O,,
접수(SS),새벽햇살,,새벽햇살,"새벽햇살(기증) 등록/수정/삭제",CRUD,O,,기증 프로그램
접수(SS),새벽햇살,,새벽햇살내역조회,"새벽햇살 내역 조회",R,O,,
접수(SS),기타,,계산서 신청목록,"계산서 내역 조회, 발행여부 변경",RU,O,,
입금(DP),미결관리,DP3310,미결입금관리,"미결입금 CRUD",CRUD,O,,
입금(DP),미결관리,DP3311,미결입금처리 및 현황,"구독접수내역/미결내역 조회, 미결→입금처리 (팝업 비고 입력)",RU,O,,
입금(DP),미결관리,DP3312,미결환불현황,"미결 환불취소",RU,O,,
입금(DP),외부파일,DP3313,지로입금처리,"금융결제원 파일(ocrser.txt) 업로드 → 미결내역 저장",CRU,O,금융결제원,파일업로드
입금(DP),외부파일,DP3314,무통장미결입금처리,"엑셀 템플릿 다운로드 → Import (계좌이체 내역 일괄 업로드)",CRU,O,,엑셀Import
입금(DP),입금관리,DP3315,입금약속관리,"신용카드 결제 워크플로우 (카드입금약속→카드승인작업중→카드승인완료→미결입력완료), 삭제",CRUD,O,,상태 워크플로우
입금(DP),입금관리,DP3316,입금관리,"입금 등록/수정/취소, 입금검색 팝업",CRUD,O,,
입금(DP),입금관리,DP3317,입금현황,"입금 내역 조회",R,O,,
입금(DP),구독취소,SS3211,구독취소관리,"구독접수 매출액 취소, 구독접수검색 팝업",CRUD,O,,화면ID는 SS계열
입금(DP),선수수익,DP3318,선수수익관리,"선수수익 내역 관리",CRU,O,,
입금(DP),선수수익,,선수수익 현황표,"선수수익 일별 통계 조회",R,O,,
발송(MP),지로DM,MP3902,지로용지작성(공통),"지로용지 DM 데이터 생성 (발송구분: 정상/재발송/미입금자, 재출력)",CRU,,,배치생성
발송(MP),지로DM,MP3906,지로용지발행(공통),"발송일자/납입기한 갱신, 우편번호별 분리 저장",U,,,
발송(MP),지로DM,MP3919,지로데이터출력(DM)(공통),"지로 데이터 엑셀 다운로드",R,O,,DM업체용
발송(MP),지로DM,MP3907,미입금지로작성(DM)(공통),"미입금/연체자 지로용지 출력 데이터 (연체구분/국내외구분)",CRU,,,
발송(MP),스티커인쇄,MP3940,신규도서발송용스티커인쇄(국내해외),"발송용 스티커 데이터 엑셀 (국내/해외/잡지/단행본/구독월호)",R,O,,
발송(MP),스티커인쇄,MP3943,도서재발송용스티커인쇄,"재발송용 스티커 데이터 엑셀",R,O,,
