NID,제목,URL,콘텐츠 타입,ITEM 분류,공공누리,디스크렙션,시기분류,종간콘텐츠 여부,주제분류,핵심 키워드
1,비교의 관점,/node/1,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,,예,공통기초,
2,비교대상도시 선정,/node/2,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,,예,공통기초,
3,비교대상 공간 설정,/node/3,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,,예,공통기초,
4,비교지표 선정,/node/4,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,,예,공통기초,
5,지표조사 방법,/node/5,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,,예,공통기초,
6,도시별 주요현황,/node/6,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
7,서울,/node/7,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
8,도쿄,/node/8,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
9,베이징,/node/9,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
10,싱가포르,/node/10,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
11,뉴욕,/node/11,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
12,런던,/node/12,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
13,파리,/node/13,데이터로 본 서울(콘텐츠),서울과 세계대도시 > 서울과 세계대도시,제 4유형 : 출처표시 + 상업적 이용금지 + 변경금지,,"1990년대 이전, 2000년대, 2010년대",예,공통기초,
